dx.obs,change,dx.bearing,dx.resultant,mag.resultant,dx.0,dist.0,dx.1,dist.1,dx.2,dist.2,dx.3,dist.3,dx.4,dist.4,dx.5,dist.5,dx.6,dist.6,dx.7,dist.7,dx.8,dist.8,dx.9,dist.9,dx.10,dist.10,dx.11,dist.11,dx.12,dist.12,dx.13,dist.13,RevisitT,time,x,y,iid,dy.obs,dy.bearing,dy.resultant,dy.0,dy.1,dy.2,dy.3,dy.4,dy.5,dy.6,dy.7,dy.8,dy.9,dy.10,dy.11,dy.12,dy.13
-0.49168189,dx,-0.335259252,-0.989159909,0.688230456,-0.568745003,165.1261291,NA,NA,-0.988599668,79.33208633,0.997822338,19.05899404,-0.95480636,20.26521856,-0.611466452,13.86566774,-0.956174734,61.35978064,-0.201723641,21.96442149,-0.992808172,83.5517339,-0.983089297,52.91439048,NA,NA,-0.999946377,84.01740169,-0.975635609,17.78632052,-0.934066585,73.90237262,1320,2007-05-11T10:02,445418.6335,6187145.947,57.76204309,0.870774896,0.942125912,-0.146842347,0.822513903,NA,-0.150567914,0.065958944,-0.297228557,-0.791270357,0.292796651,-0.97944248,-0.119716057,-0.183126823,NA,-0.010355865,-0.219397262,0.357098887
0.148063268,dx,-0.49168189,0.202331087,0.906298511,0.364182367,131.5079972,NA,NA,-0.262890581,29.70740247,0.521700387,17.88765252,0.19392525,55.20175508,0.388868114,38.00050773,-0.394269241,25.75477169,0.993172938,15.07056266,-0.003094588,27.97831704,0.107136557,53.45255686,NA,NA,0.2372365,63.37876108,-0.01199323,20.63487698,0.066493904,28.38844127,1080,2007-05-11T10:13,445334.0481,6187295.748,42.24696688,0.988977891,0.870774896,0.979317176,0.931327657,NA,0.964825654,0.853128775,0.981016308,0.921293433,0.918994976,0.116651252,0.999995212,0.994244315,NA,0.971451925,0.999928079,0.997786831
0.78186668,dx,0.148063268,0.960281732,0.913837905,0.917474224,100.2886424,NA,NA,0.711078838,51.19616342,0.999797283,108.7287037,0.947318592,71.23335707,0.986492124,22.43786793,0.587945399,36.27489248,0.999439251,87.14886318,0.81616963,59.79257283,0.773994976,68.79874349,NA,NA,0.976960602,86.88899002,0.983622925,86.04840807,0.830208232,49.97255776,840,2007-05-11T10:20,445355.0083,6187435.751,69.0674802,0.623445663,0.988977891,0.279032248,0.397795235,NA,0.703112286,-0.020134361,0.32029281,-0.163808699,0.808900617,-0.033484087,0.577812371,0.633191738,NA,0.213419732,0.180238568,-0.557453398
0.598518877,dx,0.78186668,0.995653286,0.94662224,0.894383021,107.3766422,NA,NA,0.963107434,28.08287677,0.944661513,105.7718846,0.992137481,61.71648819,0.915760032,15.07991725,0.976652864,35.52564488,0.959821798,97.44570933,0.809755494,43.41380702,0.913233804,56.80231275,NA,NA,0.988501664,62.7095486,0.9922628,90.20330984,0.959812619,52.42294837,1200,2007-05-11T10:27,445406.7399,6187477,63.04592415,0.801108703,0.623445663,0.093137175,0.447301924,NA,-0.269117204,-0.328046682,0.125152781,-0.401725733,0.214823611,-0.280610258,0.58676745,0.407435909,NA,0.151209986,0.124155287,0.280641652
0.381918579,dx,0.598518877,0.341621807,0.590685534,0.757285256,159.0608141,NA,NA,0.98053386,16.39692169,0.94361649,34.81158222,-0.228358064,64.46534097,-0.977472295,43.14028225,-0.27952084,59.08240966,0.981823501,70.06321353,-0.383842666,58.38622306,-0.164888536,79.8864868,NA,NA,-0.095252314,91.45473849,0.669900189,47.63285287,0.21766816,91.02588304,1560,2007-05-11T10:40,445479.1444,6187573.913,67.95056239,0.924195974,0.801108703,0.939837508,0.653084252,NA,-0.196350067,-0.331040661,0.973577215,-0.211063765,0.960139625,0.189796238,0.92339851,0.986312208,NA,0.995453161,0.742451168,0.976022834
-0.222740203,dx,0.381918579,-0.955703049,0.759791469,0.478305182,34.50437008,NA,NA,-0.993583618,63.37525173,-0.992520998,23.19884445,-0.961279955,67.05039281,-0.966954711,99.65646151,-0.939010058,73.8773989,0.23994087,6.074079108,-0.951974736,72.83030861,-0.966051207,81.56435412,NA,NA,-0.951637828,80.25652136,-0.859172141,35.45846336,-0.849680842,40.59838981,1200,2007-05-11T10:53,445553.95,6187754.933,56.53706965,0.97487784,0.924195974,0.294332603,0.878193688,NA,0.11309993,-0.122074027,0.27557367,0.254948203,0.34388968,-0.970787505,0.306176587,0.258350662,NA,0.307222142,0.511686654,0.527297323
-0.654270144,dx,-0.732555178,-0.776452008,0.575610681,-0.71659967,22.46728843,NA,NA,-0.898806839,7.966228039,0.697830459,9.291894498,-0.368247687,13.28781202,0.799334364,8.322769914,-0.937966811,3.881894283,-0.998586539,39.22812646,-0.885442778,10.09520125,-0.779585672,26.61620166,NA,NA,-0.450125779,21.84221267,-0.942648754,12.26841594,0.117636801,14.69511278,420,2007-05-11T12:06,445415.0898,6188052.192,15.83026316,0.756260919,0.680707654,0.630176387,0.697484704,NA,0.438344917,-0.716262976,0.929727724,-0.60088649,0.346725053,-0.05315002,0.464748413,0.626295601,NA,0.892965163,0.33378635,0.993056687
0.520816766,dx,-0.654270144,-0.58862367,0.460029095,-0.766917791,18.35496963,NA,NA,-0.69439653,8.837950476,0.562181427,16.92146827,-0.148799365,15.25476113,0.62938239,15.81205188,0.229611523,2.908272157,-0.979686124,43.72822937,-0.855417194,20.90613212,-0.597955709,17.83620728,NA,NA,-0.311429305,14.08705899,-0.998381735,51.29375022,0.682400447,10.62592066,720,2007-05-11T12:12,445410.0832,6188057.979,19.71389768,0.853668493,0.756260919,0.808407184,0.641745356,NA,0.719592565,-0.827013932,0.988867407,-0.777095752,0.973282358,-0.200537027,0.517939595,0.801529145,NA,0.950269324,-0.05686749,0.730978543
-0.581825611,dx,0.520816766,-0.783028111,0.457024836,-0.807877426,19.61167272,NA,NA,-0.999463765,34.68285806,0.543301721,18.44584981,-0.481700388,17.35952069,0.584362571,17.14070124,0.022985861,2.770091903,-0.979740012,77.67851353,-0.782243128,14.28258629,0.706497731,10.04790172,NA,NA,-0.363110739,12.95502223,-0.994747554,56.6378138,-0.742624823,12.02355763,840,2007-05-11T12:18,445411.5227,6188060.339,24.46967414,0.813313567,0.853668493,0.621986316,0.589350545,NA,-0.032744207,-0.839537516,0.876335972,-0.81149269,0.99973579,-0.200273585,0.622973264,0.707715307,NA,0.931745991,-0.102358705,0.669707677
-0.973567883,dx,-0.581825611,-0.766805228,0.336382119,-0.837411042,18.33955999,NA,NA,-0.99341171,50.34138531,0.419498711,21.49678048,0.57111136,6.102664459,0.140850502,16.24340712,-0.765065627,5.214217044,-0.974638162,114.7056491,0.891863993,7.572492183,0.544632557,7.691964593,NA,NA,-0.479973161,8.566743595,-0.990772747,57.2854994,-0.621959217,9.230015153,1020,2007-05-11T12:26,445410.2713,6188062.088,26.8991982,-0.228397846,0.813313567,0.641879851,0.546573643,NA,-0.11460006,-0.907755932,0.820872593,-0.990030876,0.643952317,-0.223786624,0.45230368,0.838674775,NA,0.877283173,-0.135533626,0.783049636
0.814644367,dx,-0.973567883,-0.34212977,0.403278836,-0.915957562,8.333635492,NA,NA,0.039325577,5.235733617,0.633730542,21.06990279,0.909088448,20.29420784,-0.978122544,52.77580275,0.952482414,31.16240134,-0.975077151,116.2094367,-0.543003516,7.86191595,0.411786386,12.4997507,NA,NA,-0.074951565,13.2735573,-0.993734756,52.6937364,-0.121250717,14.43199165,960,2007-05-11T12:35,445406.3055,6188061.157,29.65350604,0.579960822,-0.228397846,0.939652713,0.401275148,NA,0.99922645,-0.773553877,0.416603161,-0.208029537,0.304593583,-0.221866061,0.839730422,0.911280403,NA,0.997187175,-0.111764192,0.992621914
-0.324133664,dx,0.814644367,-0.868044636,0.670544027,-0.952985897,12.41570315,NA,NA,-0.967141009,58.85708536,-0.219911528,32.67659645,-0.824219303,1.145600444,-0.965028689,88.66238245,0.991757497,17.79461026,-0.959519672,140.0991642,0.800919174,7.663281085,-0.99955806,21.44670088,NA,NA,-0.999760965,21.16452224,-0.972034438,76.74904813,-0.917262972,17.19693277,900,2007-05-11T12:42,445426.9181,6188075.832,41.32263562,0.946011294,0.579960822,-0.496486164,-0.303014654,NA,-0.254240574,-0.97551982,-0.56627073,-0.262144292,-0.128129104,-0.281641615,-0.598772475,0.029726849,NA,-0.021863526,-0.234838351,-0.39828211
0.005349934,dx,0.94228969,0.959196529,0.834471318,0.94873945,139.276629,NA,NA,0.950703722,131.5501101,0.963102137,105.2139594,0.954040686,152.5557371,0.943698394,165.4969884,0.971160635,174.1782034,-0.884438641,4.359740964,0.957013259,144.8264894,0.954804565,147.774011,NA,NA,0.954945174,144.7530209,0.950671988,88.45328839,0.940622539,157.3309103,1140,2007-05-11T13:28,445275.1595,6188032.434,129.647424,-0.999985689,0.334798657,0.282740197,0.31605926,NA,0.310100682,0.269136163,0.299677109,0.330807105,0.238426133,-0.466656502,0.290044174,0.297234323,NA,0.296782269,0.310197954,0.339454325
0.954854202,dx,0.005349934,0.959650142,0.835670058,0.942866004,157.8636062,NA,NA,0.96308657,152.4583468,0.906325664,23.75190933,0.955127957,151.6657425,0.93451593,165.0130701,0.966403673,176.5020818,-0.826350885,4.761099732,0.975765565,159.6225918,0.956905319,148.2651626,NA,NA,0.954795662,145.8644883,0.948972827,89.20107066,0.944996441,158.5093088,1200,2007-05-11T13:39,445275.1688,6188030.707,127.7898732,0.297074826,-0.999985689,0.281196738,0.333172174,NA,0.269191864,0.422579922,0.296193493,0.355921308,0.257029067,-0.563155587,0.218818559,0.290400088,NA,0.297262919,0.315357849,0.327080613
0.964055055,dx,0.954854202,0.952834276,0.832394858,0.940342808,143.5104306,NA,NA,0.970626739,156.075096,0.932536702,30.7612654,0.959750971,151.7780435,0.923011897,158.1218443,0.964588272,173.1449215,-0.931066219,6.803997246,0.969261395,141.1676404,0.955212924,146.1865549,NA,NA,0.952425083,143.9282707,0.948025517,87.43871379,0.93289618,156.5091019,1020,2007-05-11T13:48,445278.9943,6188031.897,124.6188233,0.265702559,0.297074826,0.303491091,0.340228459,NA,0.240590384,0.361075198,0.280852406,0.38477141,0.263760241,-0.364850238,0.246033227,0.295919364,NA,0.304772803,0.31819431,0.360145412
0.994357712,dx,0.964055055,0.966936641,0.6684915,0.958771591,101.9427279,NA,NA,0.969841814,109.6351979,-0.87521611,6.344190732,0.948584417,124.5994138,0.919898454,130.8035004,0.966810773,139.8889756,-0.903293023,24.5394415,0.971839379,108.8258863,0.969777981,116.6414217,NA,NA,0.955079243,116.9990443,0.953969642,58.76837101,0.920602964,125.9305468,1440,2007-05-11T13:56,445303.9168,6188038.766,97.07655982,-0.106078936,0.265702559,0.255016731,0.284177825,NA,0.243735217,-0.483732116,0.316524256,0.392156645,0.2554935,-0.429024142,0.235644269,0.243989073,NA,0.296350536,0.299903187,0.390499915
0.819660109,dx,0.994357712,0.1353206,0.530124816,0.465038949,48.06050418,NA,NA,0.57665368,2.24252796,-0.607658025,58.18849811,0.364698868,47.68246069,0.515701622,60.28113098,0.634666931,44.34521826,-0.999606848,115.7784746,-0.141431598,10.58012855,-0.075135436,12.04749564,NA,NA,0.436392363,26.06813905,-0.717311486,38.42979341,0.408832432,28.19263882,1680,2007-05-11T14:12,445390.2919,6188029.551,40.99141752,-0.57285016,-0.106078936,0.990801865,0.885290222,NA,-0.816988699,-0.794198794,0.931125521,0.856768252,0.772785796,-0.028038368,0.989948031,0.997173338,NA,0.89975647,0.696752633,0.912609469
